Ingredients,Description,Categories,Fragrances,Rating
thyme extract,Extract derived from the leaf or flower of the thyme plant. It can have potent antioxidant... ,"Antioxidants, Sensitizing, Plant Extracts ",N/A,Average
thyme oil,"The most concentrated part of the thyme plant, and a source of antioxidants, some of which... ","Antioxidants, Plant Extracts, Sensitizing ",N/A,Poor
thymus hydrolysate,"Form of animal thymus derived by acid, enzyme, or other methods of hydrolysis. It can have... ","Miscellaneous, Hydration ",N/A,Average
Thymus serpillum extract,Extract of wild thyme. ,"Antioxidants, Sensitizing, Plant Extracts ",N/A,Poor
Thymus vulgaris,None,"Antioxidants, Plant Extracts, Sensitizing ",N/A,Average
Thymus vulgaris oil,Thymus vulgaris oil is more commonly known as thyme oil. ,"Antioxidants, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
Tilia cordata,None,"Antioxidants, Plant Extracts ",N/A,Best
titanium dioxide,"Inert earth mineral used as a thickening, whitening, lubricating, and sunscreen ingredient in... ","Sunscreen Actives, Coloring Agents/Pigments, Thickeners/Emulsifiers ",N/A,Best
tocopherol,None,"Antioxidants, Vitamins ",N/A,Best
tocopherol acetate,None,"Antioxidants, Vitamins ",N/A,Best
tocopheryl acetate,None,"Antioxidants, Vitamins ",N/A,Best
tocopheryl lineolate,None,"Antioxidants, Vitamins ",N/A,Best
tocotrienols,Potent forms of vitamins E that are considered stable and powerful antioxidants. These forms of... ,"Antioxidants, Vitamins ",N/A,Best
tomato extract,Extract that has weak antioxidant properties... ,"Antioxidants, Sensitizing, Plant Extracts ",N/A,Average
tormentil extract,"Plant that can be irritating due to its tannin content, which causes skin constriction. ","Plant Extracts, Sensitizing ",N/A,Poor
tragacanth,Natural gum used as a thickener in cosmetics. ,"Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
tranexamic acid,A synthetic amino acid that functions as a skin-conditioning agent and astringent. ,Miscellaneous ,N/A,Best
trehalose,Plant sugar that has hydrating properties for skin. ,"Miscellaneous, Hydration ",N/A,Good
tremella fuciformis sporocarp extract,None,"Antioxidants, Plant Extracts ",N/A,Best
tribehenin,"Also known as glyceryl tribehenate, a skin-conditioning agent that is a mixture of glycerin and... ","Thickeners/Emulsifiers, Skin-Replenishing, Emollients ",N/A,Good
tribehenin PEG-20 esters,"A complex mixture of tribehenin and PEG-20, this ingredient has multiple functions in cosmetic... ","Emulsifiers, Cleansing Agents, Emollients ",N/A,Good
tricaprylin,Mixture of glycerin and caprylic acid. Has emollient properties and is used as a skin-softening... ,Emollients ,N/A,Good
trideceth-12,Trideceth-12 is a synthetic mixture of a fatty alcohol (tridecyl alcohol) and polyethylene glycol that functions as an emulsifier and cleansing agent. ,"Cleansing Agents, Emulsifiers ",N/A,Good
trideceth-6,"An emulsifier, meaning it helps keep unlike ingredients (such as oil and water) from separating in an emulsion... ",Emulsifiers ,N/A,Good
tridecyl salicylate,"Salt form of salicylic acid (BHA). When it is no longer an acid (as in this case), salicylic acid... ",Miscellaneous ,N/A,Good
tridecyl stearate,Used in cosmetics as a thickening agent and emollient. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
tridecyl trimellitate,Used as a skin-conditioning agent and thickening agent.  ,"Thickeners/Emulsifiers, Texture Enhancer, Hydration, Skin-Softening ",N/A,Good
triethanolamine,"Used in cosmetics as a pH balancer. Like all amines, it has the potential for creating... ","Miscellaneous, Emulsifiers ",N/A,Good
triethoxycaprylylsilane,Silicone that functions as a binding agent and emulsifier.  ,"Silicones, Slip Agents ",N/A,Good
triethoxycaprylylsilane crosspolymer,A silicone polymer used to enhance a product's texture. ,"Silicones, Film-Forming/Holding Agents ",N/A,Good
triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone,"A silicone polymer that has multiple functions in cosmetic products, including skin-conditioning... ",Emollients ,N/A,Good
Trifolium pratense,None,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Good
triglyceride,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
trigonella foenum-graecum seed extract,"Latin name for the fenugreek plant. The seeds are used most often, and their fiber content helps... ","Plant Extracts, Sensitizing, Thickeners/Emulsifiers ",N/A,Average
trihydroxystearin,Mixture of glycerin and fatty acids that is used as an emollient and thickening agent. ,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing ",N/A,Good
triisocetyl citrate,A trimester of the fatty alcohol isocetyl alcohol and citric acid. It is used as on occlusive agent. ,Emollients ,N/A,Good
trilaurin,"Group of ingredients that are triesters of glycerin and aliphatic acids, and known generically as... ","Thickeners/Emulsifiers, Emollients ",N/A,Good
trimethylsiloxyamodimethicone,"Trimethylsiloxyamodimethicone is a synthetic silicone-based polymer that functions as a conditioning agent, hydrating and smoothing skin’s surface due to its lightweight yet silky, non-greasy feel. ","Hydration, Texture Enhancer ",N/A,Best
trimethylsiloxysilicate,Used as a skin-softening and occlusive agent. ,"Silicones, Slip Agents, Skin-Softening, Emollients ",N/A,Good
trioclanolin,"Derived from lanolin and used as a texture enhancer, most commonly in powder-based products such as... ",Miscellaneous ,N/A,Good
trioctanoin,Used as an emollient and thickening agent in cosmetics. ,"Thickeners/Emulsifiers, Emollients ",N/A,Good
trioctyldodecyl citrate,Mixture of octyldodecanol and citric acid used as a skin-softening agent and emollient. ,"Emollients, Skin-Softening ",N/A,Good
tripeptide-1,"Tripeptide-1, aka GHK (glycine, histidine, lysine - the amino acids that comprise it), is a synthetic signal peptide that teaches skin to rebuild damaged areas. ",Skin-Restoring ,N/A,Best
tripeptide-32,"A synthetic peptide with the ""tri"" (meaning three) designation referring to this peptide's mix of the amino acids proline, serine, and threonine. ",Skin-Restoring ,N/A,Good
Tripleurospermum maritimum extract,"Also known as false mayweed or sea mayweed, this plant extract encompasses the entire plant. Raw material...","Plant Extracts, Antioxidants ",N/A,Good
trisodium EDTA,Similar to tetrasodium EDTA. Used as a water-softening and chelating agent (a compound that binds... ,Miscellaneous ,N/A,Good
Triticum vulgare (wheat) germ extract,"Extract from the germ portion of the wheat plant. In cosmetics, this ingredient functions as a... ","Plant Extracts, Skin-Softening ",N/A,Good
Triticum vulgare oil,None,"Plant Extracts, Skin-Softening, Emollients ",N/A,Good
troxerutin,A flavonoid ingredient that's extracted from the Japanese plant Sophora japonica. ,"Antioxidants, Plant Extracts ",N/A,Best
tryptophan,None,"Antioxidants, Skin-Replenishing ",N/A,Good
turmeric,"Spice made from the dried, ground root of a plant; its extract is called curcumin. A natural yellow... ","Antioxidants, Skin-Soothing, Plant Extracts ",N/A,Good
ubiquinone,"it is a vitamin-like, fat-soluble substance. ","Skin-Soothing, Antioxidants ",N/A,Best
Ulmus fulva bark extract,None,"Skin-Soothing, Plant Extracts ",N/A,Good
ultramarines,"Inorganic pigments (of various colors) permanently listed by the FDA for external use only,... ",Coloring Agents/Pigments ,N/A,Good
Ulva lactuca extract,"Extract from the plant known as sea lettuce, it has some soothing and antioxidant... ","Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Good
Uncaria tomentosa extract,"Also known as cat’s claw, there is some research showing it to be an effective soothing... ","Plant Extracts, Skin-Soothing ",N/A,Average
Undaria pinnatifida,Form of brown algae. ,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Hydration ",N/A,Good
urea,"Component of urine, although synthetic versions are used in cosmetics. In small amounts urea has... ","Exfoliant, Hydration, Skin-Replenishing ",N/A,Good
Urtica dioica,None,"Skin-Soothing, Plant Extracts ",N/A,Average
UVA,"Ultraviolet A radiation. The sun produces a range of ultraviolet (UV) radiation, of which UVA and... ",Miscellaneous ,N/A,Poor
Uva ursi extract,None,"Plant Extracts, Antioxidants ",N/A,Best
UVB,Ultra-violet B radiation. ,Miscellaneous ,N/A,Poor
VA/crotonates copolymer,None,Film-Forming/Holding Agents ,N/A,Good
Vaccinium macrocarpon fruit extract,Latin term for cranberry. ,"Skin-Soothing, Antioxidants, Plant Extracts ",N/A,Best
Vaccinium myrtillus,None,Plant Extracts ,N/A,Good
Vaccinum Angustifolium (blueberry) fruit extract,"A botanical extract rich in antioxidants, such as anthocyanins and flavonoids. ",Antioxidants ,N/A,Best
valine,None,"Antioxidants, Skin-Replenishing ",N/A,Good
Vanilla planifolia fruit extract,Extract used primarily as a fragrance and flavoring agent. The vanilla plant is a source of... ,"Skin-Soothing, Plant Extracts, Antioxidants",Synthetic and Fragrant Plant Extracts ,Good
verbena extract,Fragrant extract that can be a skin sensitizer... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
vetiver oil or extract,Fragrant component in skincare products that also has some beneficial properties... ,"Plant Extracts, Sensitizing",Synthetic and Fragrant Plant Extracts ,Poor
vinyl dimethicone/methicone silsesquioxane crosspolymer,Blend of silicone polymers that functions as a thickening agent and texture enhancer. ,"Thickeners, Silicones, Texture Enhancer ",N/A,Good
Viola tricolor extract,None,"Skin-Soothing, Plant Extracts, Antioxidants ",N/A,Average
vitamin A,None,"Antioxidants, Vitamins ",N/A,Best
vitamin B1,None,Vitamins ,N/A,Good
vitamin B12,Overall there is limited research showing vitamin B12 has any benefit when applied topically on skin ,Vitamins ,N/A,Good
vitamin B2,"There is no research showing this has any benefit when applied topically to skin. However, there is... ","Sensitizing, Vitamins ",N/A,Average
vitamin B3,None,"Skin-Restoring, Vitamins, Hydration ",N/A,Best
vitamin B5,Also known as pantothenic acid. ,Vitamins ,N/A,Good
vitamin B6,There is no research showing it to have benefit for skin. ,Vitamins ,N/A,Average
vitamin C,Vitamin C is a top rated skin care ingredient to help maintain healthy-looking and radiant skin... ,"Antioxidants, Vitamins ",N/A,Best
vitamin D,"A fat-soluble vitamin (technically, it's a hormone) that may have antioxidant, soothing, and... ","Antioxidants, Vitamins ",N/A,Good
vitamin E,One of the most well-known and researched antioxidants for the body and for skin. Vitamin E occurs... ,"Antioxidants, Vitamins ",N/A,Best
vitamin F,Name sometimes used to represent essential fatty acids of linoleic acid and linolenic acid. These... ,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration ",N/A,Best
vitamin H,None,Vitamins ,N/A,Good
vitamin K,"Technically known as phytonadione, vitamin K is a fat-soluble.... ",Vitamins ,N/A,Good
Vitis vinifera,Latin name for the vines that produce wine grapes. More commonly known as grape seed oil or grape... ,"Antioxidants, Emollients, Plant Extracts ",N/A,Best
volatile oil,Group of volatile fluids derived primarily from plants and used in cosmetics primarily as fragrant... ,,"Synthetic and Fragrant Plant Extracts, Sensitizing ",Poor
VP/eicosene copolymer,A film-forming agent often used in water-resistant sunscreen products. It helps the sunscreen... ,Film-Forming/Holding Agents ,N/A,Good
VP/hexadecene copolymer,Synthetic polymer. ,"Film-Forming/Holding Agents, Texture Enhancer ",N/A,Good
walnut extract,Extract that can have antioxidant properties... ,"Antioxidants, Plant Extracts ",N/A,Average
walnut oil,"Emollient, non-fragrant plant oil... ","Plant Extracts, Emollients ",N/A,Good
walnut shell powder,Abrasive used in scrub products; not preferred to polyethylene beads. ,Scrub Agents ,N/A,Average
water,The most widely used cosmetic ingredient; water is almost always listed first on an ingredient... ,Miscellaneous ,N/A,Good
watercress extract,"Research indicates that watercress extracts can have antioxidant activity, but that information is limited... ","Antioxidants, Plant Extracts ",N/A,Average
watermelon fruit extract,"Extract from the fruit Citrullus lantus, commonly known as watermelon... ","Antioxidants, Plant Extracts ",N/A,Best
wheat amino acids,A blend of amino acids from wheat protein after it has been broken down via hydrolysis. Most often... ,"Miscellaneous, Hydration ",N/A,Good
wheat germ glycerides,Used as emollient and texture enhancer in cosmetics. ,"Thickeners/Emulsifiers, Emollients, Texture Enhancer ",N/A,Good
wheat germ oil,Emollient plant oil similar to all non-fragrant plant oils. ,"Plant Extracts, Emollients ",N/A,Good
wheat protein,None,Skin-Replenishing ,N/A,Good
whey protein,"A form of protein derived from milk. An animal-derived ingredient, whey protein functions as a hair... ","Miscellaneous, Skin-Softening ",N/A,Good
white nettle,Contains components that can have both soothing and sensitizing properties... ,"Skin-Soothing, Plant Extracts, Sensitizing ",N/A,Average
white oak bark extract,None,"Plant Extracts, Sensitizing ",N/A,Poor
white tea leaf extract,Extract from the minimally processed buds and leaves of green tea. There is research showing that... ,"Antioxidants, Plant Extracts ",N/A,Best
white willow,None,"Skin-Soothing, Plant Extracts ",N/A,Good
wild ginger,None,"Skin-Soothing, Sensitizing, Plant Extracts ",N/A,Poor
willow bark,"Contains salicin, a substance that when taken orally is converted by the digestive process to... ","Skin-Soothing, Plant Extracts ",N/A,Good
willow herb,None,"Skin-Soothing, Plant Extracts ",N/A,Best
wintergreen oil,A type of mint often used to ease the discomfort of sore muscles... ,"Plant Extracts, Sensitizing ",N/A,Poor
witch hazel,Commonly used plant extract that can have antioxidant properties... ,"Skin-Soothing, Plant Extracts, Antioxidants, Sensitizing ",N/A,Poor
xanthan gum,Used as a thickening agent. ,"Thickeners/Emulsifiers, Texture Enhancer ",N/A,Good
xanthophyll,"Also known as lutein, this is a cartenoid pigment from plants that functions as an antioxidant. ","Antioxidants, Plant Extracts ",N/A,Best
Ximenia americana oil,Latin name for plum oil; it can have emollient properties. ,"Plant Extracts, Antioxidants, Emollients ",N/A,Good
Xi xin,None,"Skin-Soothing, Sensitizing, Plant Extracts ",N/A,Poor
xylitol,None,"Thickeners/Emulsifiers, Texture Enhancer, Slip Agents ",N/A,Good
xylitylglucoside,"An ingredient derived from two water-binding plant sugars, xylitol and glucose. ",Hydration ,N/A,Good
xylose,"Form of sugar. Similar to other sugars, xylose has hydrating properties for skin. ","Miscellaneous, Hydration ",N/A,Good
